Usage (kWh),TimeOfDay,NumberOfResidents,ApplianceCount,IndustrialAreaNearby,PreviousTheftHistory,AverageDailyUsage,BillPaymentDelay (days),UnusualUsageSpike,Theft,anomaly_probability,business_rule_score,hybrid_score,hybrid_alert
363,4,6,7,0,0,24,24,0,0,0.35925233878281626,0,0.25147663714797136,0
367,4,5,23,0,1,39,0,0,0,0.276386490610287,0,0.19347054342720088,0
244,2,10,24,1,1,39,37,1,1,0.36998691935184114,2,0.37899084354628876,0
199,3,8,7,0,1,19,36,1,1,0.34316082675836046,1,0.3002125787308523,0
481,2,1,15,0,0,33,6,1,0,0.4893071504516522,2,0.4625150053161565,0
291,2,6,22,1,0,38,42,1,0,0.032122285076364054,2,0.14248559955345483,0
56,1,4,19,0,1,31,56,0,0,0.5398025409767261,1,0.43786177868370824,0
83,4,10,14,1,1,37,50,1,1,0.5416471543640917,3,0.5591530080548641,1
292,1,6,11,1,0,27,59,1,0,0.2580812353107865,1,0.24065686471755054,0
92,1,8,22,1,1,49,50,1,1,0.6275313242628504,3,0.6192719269839952,1
247,3,1,24,1,1,17,85,1,1,0.7025791752555426,3,0.6718054226788798,1
382,2,9,16,0,1,30,52,1,1,0.14242481345017366,1,0.15969736941512155,0
433,4,4,12,1,1,36,28,1,1,0.2536627650603549,3,0.3575639355422484,0
71,1,4,6,1,1,20,72,1,1,0.7214328623432866,4,0.7450030036403006,1
316,3,1,10,1,1,17,58,0,0,0.43460074695013495,2,0.42422052286509443,0
231,4,9,15,0,0,46,17,1,0,0.3822535791837528,1,0.32757750542862696,0
175,2,3,14,1,1,21,83,0,1,0.5792615969953803,3,0.5854831178967661,1
244,2,4,24,1,0,49,65,1,1,0.40714743936382236,2,0.4050032075546756,0
112,3,9,22,0,0,13,11,0,0,0.469512322381924,2,0.44865862566734677,0
350,2,2,24,0,0,30,64,0,0,0.3236512686136295,2,0.3465558880295406,0
150,4,8,8,1,1,28,71,0,1,0.610071619430224,4,0.6670501336011567,1
70,1,4,19,0,0,47,50,0,0,0.580887296688408,0,0.4066211076818856,0
396,2,7,18,1,1,49,60,0,0,0.3435114509352126,2,0.36045801565464886,0
209,4,4,15,1,0,40,85,0,0,0.5003046404520042,2,0.4702132483164029,0
216,4,8,19,1,0,39,83,0,0,0.6141548486687318,2,0.5499083940681122,1
134,2,6,16,1,0,47,50,0,0,0.22340262661552324,1,0.21638183863086624,0
357,3,1,9,0,0,33,20,0,0,0.41439158661442177,0,0.2900741106300952,0
350,3,10,11,0,0,37,53,1,0,0.19305680447812634,1,0.19513976313468842,0
365,2,9,16,1,1,13,73,1,1,0.5541464695012278,4,0.6279025286508595,1
317,4,7,20,0,1,26,35,0,0,0.1231247588020874,1,0.14618733116146115,0
268,1,1,12,0,1,21,27,1,1,0.317044122279055,2,0.34193088559533846,0
326,4,2,16,1,0,33,65,1,1,0.3224567322596401,3,0.40571971258174805,0
56,1,6,19,0,0,25,71,0,0,0.5954774384888017,2,0.5368342069421612,1
75,4,8,7,0,1,13,64,0,1,0.6129998928414724,2,0.5490999249890307,1
373,4,3,9,0,0,16,74,0,0,0.4465099426451392,1,0.3725569598515974,0
175,1,3,22,1,1,26,75,0,1,0.5603934389420684,3,0.5722754072594478,1
366,4,1,11,1,0,31,39,0,0,0.3306130821362101,1,0.29142915749534704,0
439,3,6,21,1,1,14,16,1,1,0.3430408809751143,3,0.42012861668258,0
61,2,7,13,0,1,16,88,1,1,0.8278795816037269,3,0.7595157071226089,1
452,2,4,20,1,1,49,53,1,1,0.276172965835469,2,0.3133210760848283,0
280,2,8,12,0,0,20,56,0,0,0.24063804775865916,0,0.1684466334310614,0
151,4,3,20,1,1,22,54,0,0,0.2868878605375077,2,0.3208215023762554,0
336,2,6,8,1,1,28,52,1,1,0.19285978577402363,2,0.2550018500418165,0
283,4,10,12,0,1,12,42,0,0,0.5208703743673385,1,0.42460926205713695,0
463,2,9,23,1,0,28,12,1,0,0.2569102671017387,2,0.2998371869712171,0
173,4,6,8,1,1,41,62,1,1,0.6009592155456321,4,0.6606714508819425,1
106,2,4,19,1,1,45,26,1,1,0.3469834990806352,3,0.42288844935644465,0
132,1,10,9,1,1,50,90,1,1,0.9425310264541042,3,0.839771718517873,1
398,1,6,10,0,0,25,43,0,0,0.30285002944625483,1,0.27199502061237835,0
354,1,10,25,1,1,44,65,1,1,0.5725632328292827,3,0.5807942629804979,1
74,2,6,18,1,1,17,10,1,1,0.4061294217918553,2,0.40429059525429867,0
206,2,10,17,0,0,46,48,0,0,0.32127052282192814,2,0.3448893659753497,0
468,2,2,12,1,1,22,14,1,1,0.45615075875716715,3,0.49930553113001697,0
439,1,9,17,0,1,12,71,1,1,0.6119267056299147,2,0.5483486939409403,1
351,2,9,18,1,1,38,18,1,1,0.20123461443471524,2,0.26086423010430065,0
351,4,9,12,0,1,31,7,1,1,0.16184187275707496,2,0.23328931092995248,0
443,2,7,18,1,1,37,40,1,1,0.23382334864744037,3,0.34367634405320824,0
97,3,7,18,0,0,31,61,0,0,0.4382742904041127,2,0.42679200328287886,0
344,1,5,9,0,1,26,8,0,0,0.33242471259470674,1,0.2926972988162947,0
407,1,5,14,1,1,44,4,1,1,0.4039780744241839,3,0.4627846520969287,0
428,1,8,6,1,0,43,35,1,0,0.4710832035885588,1,0.38975824251199115,0
451,3,8,14,1,1,44,75,1,1,0.46708332625127724,3,0.506958328375894,1
349,4,4,25,1,1,33,2,1,1,0.2653689915757269,2,0.3057582941030088,0
90,4,1,24,1,1,48,64,0,1,0.5652572948223411,2,0.5156801063756388,1
226,2,2,19,1,0,30,75,0,0,0.3226390466606217,2,0.34584733266243517,0
350,4,3,24,1,0,16,40,0,0,0.311425829773436,0,0.2179980808414052,0
479,1,2,23,1,1,37,54,1,1,0.6173858688254259,3,0.6121701081777982,1
139,4,4,21,1,1,27,89,1,1,0.6810452251537795,3,0.6567316576076456,1
451,1,9,25,0,1,39,80,1,1,0.5598199321036661,3,0.5718739524725662,1
270,2,8,8,1,1,15,80,1,1,0.5357169289481529,3,0.5550018502637071,1
373,2,2,21,0,1,23,19,1,1,0.17340799170337817,2,0.24138559419236472,0
432,2,2,14,0,1,23,44,1,1,0.24123042627822022,2,0.28886129839475416,0
467,3,3,7,0,0,47,24,1,0,0.4145229834722317,2,0.4101660884305622,0
88,4,4,6,1,1,49,2,1,1,0.5153480529514705,2,0.4807436370660293,0
116,2,10,15,0,0,20,48,1,0,0.40113929621211275,1,0.3407975073484789,0
50,3,9,6,1,1,14,59,1,1,0.6277987566111721,3,0.6194591296278205,1
440,3,10,5,0,1,19,77,1,1,0.6845026018054294,3,0.6591518212638006,1
321,1,10,16,1,0,17,49,0,0,0.37196061994165686,0,0.26037243395915977,0
359,1,4,6,1,0,49,18,1,0,0.46523066290069115,1,0.3856614640304838,0
275,1,3,16,0,1,36,0,1,1,0.2916092176574512,1,0.2641264523602158,0
453,1,9,8,0,0,19,16,1,0,0.5570831111389265,1,0.4499581777972485,0
61,1,3,5,1,0,20,47,1,0,0.4723284438065438,2,0.45062991066458064,0
488,1,6,23,0,1,37,10,1,1,0.4330428086283078,1,0.36312996603981545,0
250,1,7,22,1,1,11,79,0,1,0.6632371658181802,3,0.644266016072726,1
295,2,10,12,1,0,25,60,0,0,0.41929391071569044,1,0.3535057375009833,0
176,2,10,10,0,0,31,63,1,1,0.47592379651684225,2,0.45314665756178957,0
463,3,4,21,1,1,33,57,1,1,0.30858132406786953,3,0.39600692684750866,0
401,2,1,22,1,0,26,15,1,0,0.3184867505689696,1,0.2829407253982787,0
348,3,8,17,0,1,40,46,0,0,0.10693487536779667,1,0.13485441275745766,0
479,4,9,11,1,0,29,28,1,0,0.2786550355046664,2,0.31505852485326646,0
469,1,9,9,0,1,30,7,1,1,0.4659209765624439,1,0.38614468359371074,0
179,1,2,7,0,1,33,87,0,1,0.6539322367499509,1,0.5177525657249656,1
450,2,8,7,1,0,15,82,1,1,0.6998545168945416,3,0.669898161826179,1
259,4,7,20,1,1,14,18,1,1,0.21354268151729594,2,0.26947987706210713,0
124,4,5,20,0,0,40,31,1,0,0.23303359543468005,1,0.22312351680427603,0
291,1,1,25,0,1,20,76,1,1,0.6043508843465224,2,0.5430456190425657,1
417,2,4,14,1,1,21,11,1,1,0.3039566584453477,3,0.39276966091174337,0
374,2,2,12,0,0,48,51,0,0,0.33073574517787985,0,0.23151502162451587,0
442,2,8,14,1,1,44,87,1,1,0.7176506891186554,4,0.7423554823830587,1
248,3,6,24,0,0,18,45,1,0,0.161289558617273,2,0.2329026910320911,0
121,2,5,8,1,0,18,59,1,0,0.24201459527259617,1,0.2294102166908173,0
393,3,7,14,0,0,27,19,0,0,0.14370068062751218,1,0.1605904764392585,0
396,2,6,14,1,1,46,85,0,1,0.5739203253445113,2,0.5217442277411579,1
236,2,10,14,0,0,43,60,0,0,0.3611476539784756,2,0.3728033577849329,0
154,2,1,18,1,1,36,6,1,1,0.37010453564670365,3,0.43907317495269255,0
392,2,4,15,0,0,46,48,0,0,0.2543058526493648,0,0.17801409685455533,0
257,3,5,11,1,1,14,89,0,1,0.6778360052777823,3,0.6544852036944475,1
397,2,10,7,1,1,34,29,1,1,0.4021582657634286,3,0.4615107860344,0
87,3,7,11,0,1,49,32,0,0,0.4028119948447163,2,0.4019683963913014,0
300,2,9,21,1,0,43,52,0,0,0.19757465419425357,0,0.1383022579359775,0
207,1,4,15,0,0,10,49,1,0,0.38200773229047524,1,0.32740541260333267,0
139,3,1,10,1,0,41,44,1,0,0.21529771649580387,2,0.27070840154706266,0
303,2,4,7,1,1,49,32,1,1,0.28751660599832385,3,0.3812616241988267,0
243,3,10,6,0,1,14,24,0,0,0.5226419838465375,2,0.4858493886925762,0
272,1,6,6,1,1,17,41,0,0,0.47082778091026056,2,0.44957944663718236,0
421,1,5,11,0,1,46,83,1,1,0.6628441821802269,3,0.6439909275261588,1
192,1,10,14,1,1,31,12,0,0,0.5233536680363745,2,0.4863475676254621,0
325,4,6,21,1,1,30,53,0,0,0.22635455337299337,2,0.27844818736109533,0
439,3,6,12,1,0,13,36,1,0,0.2219762489171434,2,0.2753833742420004,0
464,4,9,25,1,0,35,87,1,1,0.6056378806778969,2,0.5439465164745279,1
61,3,4,7,0,0,43,60,1,0,0.4031672277777427,1,0.3422170594444199,0
293,4,8,18,1,1,39,21,1,1,0.17106929683373628,2,0.2397485077836154,0
64,2,3,6,0,1,49,66,0,0,0.5106011516624538,1,0.41742080616371763,0
481,4,7,17,1,1,29,30,1,1,0.28778792505356376,2,0.3214515475374946,0
164,4,3,15,0,0,27,74,1,1,0.34142817700751615,3,0.4189997239052613,0
456,1,1,6,0,1,30,78,1,1,0.8097995233301536,3,0.7468596663311076,1
450,2,9,21,1,0,34,6,1,0,0.24156541818721955,1,0.22909579273105368,0
390,1,8,20,0,0,10,78,0,0,0.646778837109599,2,0.5727451859767193,1
380,1,9,19,0,0,49,66,0,0,0.4581321211023075,1,0.3806924847716152,0
432,3,3,13,0,0,42,30,1,0,0.18623978872458546,1,0.19036785210720983,0
244,2,9,12,1,0,47,37,1,0,0.3084147878279958,2,0.33589035147959706,0
474,4,10,11,1,1,38,54,1,1,0.3941676337051896,3,0.4559173435936327,0
112,1,4,14,0,1,46,2,1,1,0.42434566105514726,1,0.35704196273860306,0
335,3,3,11,1,1,22,55,0,0,0.23948924870216293,1,0.22764247409151403,0
461,2,7,9,0,0,42,85,1,1,0.6074923333986074,2,0.5452446333790252,1
450,3,7,25,1,0,10,35,1,0,0.4051664420795402,2,0.4036165094556781,0
319,4,3,18,1,1,30,42,0,0,0.2169488059127398,2,0.27186416413891784,0
485,2,6,13,1,1,32,29,1,1,0.286020665352156,3,0.3802144657465092,0
266,3,9,15,1,1,44,32,1,1,0.33952998220409236,2,0.35767098754286464,0
493,1,1,8,1,1,38,43,1,1,0.7163130187170681,2,0.6214191131019476,1
199,4,8,19,0,1,36,37,0,0,0.3262440709693638,1,0.28837084967855464,0
293,1,1,25,1,0,29,37,0,0,0.45821810533809293,0,0.32075267373666505,0
427,1,3,16,0,0,48,48,1,0,0.31458059416776196,2,0.3402064159174334,0
165,3,5,17,0,0,27,35,1,0,0.1369945014844388,1,0.15589615103910714,0
451,4,7,19,1,0,20,77,1,1,0.3982038828102805,2,0.39874271796719635,0
301,2,8,23,0,1,39,66,0,1,0.27144893156730787,2,0.31001425209711553,0
364,1,10,18,0,0,38,30,1,0,0.27190193552906716,2,0.310331354870347,0
422,2,7,10,0,0,21,90,1,1,0.5903548437917148,2,0.5332483906542003,1
103,1,3,18,1,0,24,37,0,0,0.3527501660189454,1,0.30692511621326174,0
255,4,8,13,0,0,14,75,1,1,0.3728945709581353,3,0.4410261996706947,0
488,2,7,12,0,0,46,8,1,0,0.31227221002479,2,0.33859054701735297,0
412,4,4,18,0,1,12,89,1,1,0.6420148725082,2,0.56941041075574,1
263,3,4,19,1,1,40,3,1,1,0.22287232543326319,2,0.2760106278032842,0
151,4,6,24,0,0,16,46,0,0,0.29958621530073226,0,0.20971035071051258,0
121,1,6,8,0,0,38,20,0,0,0.4242168306630524,0,0.29695178146413664,0
310,3,1,20,1,0,18,9,1,0,0.260121343430574,2,0.30208494040140177,0
342,3,1,25,0,1,17,39,0,0,0.3820519026981686,1,0.32743633188871796,0
70,3,6,14,1,0,20,18,0,0,0.3024225060026592,1,0.27169575420186143,0
60,1,7,18,1,0,28,1,0,0,0.6850684022974436,1,0.5395478816082104,1
232,4,9,9,0,1,39,35,1,1,0.34531310397178583,1,0.30171917278025007,0
116,3,5,23,1,1,27,82,0,1,0.6860804371844682,3,0.6602563060291278,1
337,4,4,19,0,1,47,5,0,0,0.21794128823820047,1,0.2125589017667403,0
472,4,3,13,1,1,22,1,1,1,0.44101955368606816,2,0.4287136875802477,0
420,4,5,8,0,1,29,58,1,1,0.22595666180380414,1,0.21816966326266288,0
287,3,5,5,1,0,41,62,1,1,0.46844849242808195,2,0.44791394469965734,0
221,1,2,14,1,1,25,87,1,1,0.7010088606312848,3,0.6707062024418993,1
241,1,8,10,0,0,32,69,0,0,0.5330601757007041,2,0.4931421229904928,0
494,1,5,12,0,0,45,77,1,1,0.6377334379386803,2,0.5664134065570762,1
97,2,7,17,1,0,10,52,1,0,0.4369059946788748,2,0.42583419627521235,0
467,2,5,23,1,0,28,75,1,1,0.38183496194286237,3,0.44728447336000365,0
122,2,5,24,1,0,24,43,0,0,0.21118722785724964,1,0.20783105950007474,0
478,4,10,24,1,0,44,40,1,0,0.39297273022046053,1,0.33508091115432237,0
257,1,4,8,0,1,37,3,0,0,0.3623838462039979,1,0.3136686923427985,0
377,2,10,21,0,1,42,20,1,1,0.21146008415276996,2,0.268022058906939,0
85,1,2,18,1,0,11,75,1,1,0.6412279519376358,3,0.628859566356345,1
50,3,1,20,0,1,32,53,1,1,0.39069764807178364,1,0.33348835365024854,0
339,4,7,18,1,0,23,15,1,0,0.10743727416647497,1,0.1352060919165325,0
379,4,4,12,1,1,29,27,1,1,0.22356971145625637,3,0.33649879801937943,0
448,1,7,12,1,1,39,63,1,1,0.5925192521039471,3,0.594763476472763,1
81,3,5,17,1,0,46,33,1,0,0.24101139444052866,2,0.28870797610837007,0
386,3,3,15,1,0,34,16,0,0,0.22651650557401182,0,0.15856155390180826,0
329,2,7,17,0,0,40,15,0,0,0.21165968058400286,0,0.148161776408802,0
354,4,3,17,0,1,25,62,1,1,0.3756155852448244,3,0.44293090967137705,0
201,3,5,11,0,1,28,31,1,1,0.07586654890158107,1,0.11310658423110674,0
291,2,7,6,1,0,47,84,1,1,0.5642440610804961,2,0.5149708427563473,1
220,2,3,12,0,1,28,9,0,0,0.16181905503126526,0,0.11327333852188567,0
335,1,8,23,0,1,17,65,1,1,0.48782748134078235,3,0.5214792369385477,1
500,2,3,22,1,1,38,11,1,1,0.42967011161608015,2,0.4207690781312561,0
359,4,10,8,0,0,41,66,0,0,0.408744890829024,1,0.3461214235803168,0
360,2,2,13,1,0,19,57,0,0,0.2946846404729211,0,0.20627924833104475,0
364,3,4,17,1,1,37,18,0,0,0.21786660977948136,2,0.2725066268456369,0
483,2,7,16,0,1,22,48,1,1,0.22724087593165399,2,0.2790686131521578,0
188,3,1,25,1,1,30,12,0,0,0.33831901739627146,1,0.29682331217739,0
76,2,9,5,0,0,12,85,0,0,0.7729680266105697,2,0.6610776186273988,1
158,3,7,6,0,1,19,75,1,1,0.5567996332845735,2,0.5097597432992014,1
461,1,4,19,1,0,11,44,1,0,0.5071548053828971,2,0.47500836376802796,0
141,3,9,20,1,0,15,8,1,0,0.38731746969777314,2,0.39112222878844116,0
234,4,1,12,0,1,18,7,0,0,0.3086119736055134,0,0.21602838152385936,0
208,4,4,19,0,0,14,1,1,0,0.26981925106137117,2,0.3088734757429598,0
280,3,4,12,0,1,13,60,1,1,0.16888598958979995,2,0.23822019271285994,0
60,1,4,12,0,0,29,55,0,0,0.5192962853161062,1,0.42350739972127427,0
422,1,5,23,1,1,23,51,1,1,0.34895102574857306,2,0.3642657180240011,0
124,2,8,21,0,0,29,53,0,0,0.3209084593966549,2,0.34463592157765843,0
62,4,3,11,1,1,44,61,1,1,0.6226756654300076,3,0.6158729658010054,1
300,4,9,24,1,0,29,89,0,0,0.6217679857307874,2,0.5552375900115512,1
343,1,3,11,1,1,26,31,0,0,0.3453260680537643,1,0.301728247637635,0
259,4,10,14,0,1,50,54,0,0,0.4186932448401768,1,0.35308527138812373,0
73,4,4,20,1,0,44,46,1,0,0.28394522011504175,2,0.3187616540805292,0
360,2,1,9,0,0,35,8,0,0,0.43399445217057386,0,0.3037961165194017,0
391,2,1,8,1,0,22,50,0,0,0.4337937807472708,0,0.3036556465230896,0
344,4,9,19,1,1,28,62,0,1,0.489225348754289,3,0.5224577441280023,1
320,1,3,13,0,0,12,14,1,0,0.3968189810264665,1,0.3377732867185265,0
173,4,5,22,0,1,10,47,0,0,0.30533632013367484,0,0.21373542409357238,0
67,2,7,6,0,0,22,15,0,0,0.5276936164139847,2,0.48938553148978925,0
294,3,6,23,0,1,32,29,1,1,0.0816412430449639,1,0.11714887013147472,0
199,1,3,18,0,1,19,20,1,1,0.2652284547916427,1,0.24565991835414988,0
397,1,10,19,1,1,12,65,0,1,0.6937811323612599,2,0.6056467926528819,1
284,1,8,25,0,1,23,84,1,1,0.606929324348181,3,0.6048505270437268,1
352,2,5,13,1,0,32,10,1,0,0.07005694754310066,2,0.16903986328017045,0
487,2,1,6,1,1,30,8,1,1,0.76782351197952,2,0.6574764583856639,1
332,1,6,16,0,1,27,60,0,0,0.23609928099475186,1,0.2252694966963263,0
237,2,1,10,0,0,39,11,1,0,0.25010939506916474,1,0.2350765765484153,0
227,3,1,22,0,1,43,2,0,0,0.31581048022147606,0,0.22106733615503324,0
407,1,1,25,0,1,23,68,1,1,0.6567388483152263,3,0.6397171938206584,1
473,2,7,6,0,1,42,72,1,1,0.6961449685002098,3,0.6673014779501468,1
65,4,2,5,0,0,50,32,0,0,0.4793652117955699,1,0.39555564825689893,0
416,3,6,24,1,1,38,55,1,1,0.18725797219592333,2,0.2510805805371463,0
335,1,2,7,0,1,21,48,1,1,0.37856975783037694,1,0.3249988304812638,0
316,4,9,24,1,0,36,66,1,1,0.334910427818494,2,0.3544372994729458,0
160,2,2,9,1,1,18,48,0,0,0.28290313216753027,2,0.31803219251727116,0
145,4,1,10,1,1,16,4,0,0,0.4265785703525169,2,0.4186049992467618,0
88,4,6,6,0,1,23,57,0,0,0.3636971567471895,0,0.25458800972303264,0
99,2,4,25,0,1,43,74,1,1,0.5294573457173863,2,0.4906201420021704,0
374,4,9,11,1,0,22,28,1,0,0.1680415493188676,1,0.1776290845232073,0
414,2,10,18,1,0,15,66,1,1,0.42381440148637317,2,0.4166700810404612,0
217,1,2,15,0,0,15,71,0,0,0.4881037488296597,2,0.46167262418076177,0
85,2,6,5,1,1,29,89,0,1,0.735929489188894,2,0.6351506424322257,1
316,2,5,14,0,0,28,79,0,0,0.24925817687108653,1,0.23448072380976057,0
178,3,8,8,0,1,42,67,0,1,0.48547960855724737,3,0.5198357259900731,1
326,4,7,8,0,1,33,20,0,0,0.17172368891707424,1,0.18020658224195196,0
269,3,4,16,0,0,36,50,1,0,0.07592078318749651,1,0.11314454823124756,0
91,1,1,18,1,1,46,48,1,1,0.528581341900956,3,0.5500069393306691,1
234,4,2,24,1,1,44,59,1,1,0.320268366353438,3,0.4041878564474066,0
397,3,8,18,0,0,28,76,0,0,0.3322846265371824,2,0.35259923857602765,0
214,1,9,13,0,0,42,89,0,0,0.6811962897828439,3,0.6568374028479906,1
201,1,9,13,1,1,10,57,1,1,0.6097004687792293,2,0.5467903281454605,1
188,2,4,18,1,0,46,56,1,0,0.11201696408518269,2,0.19841187485962786,0
457,3,6,19,1,0,15,52,1,0,0.2540441006319982,1,0.23783087044239876,0
301,4,3,23,0,1,27,51,1,1,0.15281595533437453,1,0.16697116873406215,0
68,1,4,20,0,1,27,72,1,1,0.6131050741203756,2,0.5491735518842629,1
71,1,2,17,0,0,13,47,0,0,0.5098076542041408,0,0.35686535794289853,0
161,1,1,14,1,1,17,64,0,1,0.5813081188265653,2,0.5269156831785957,1
89,2,5,23,1,1,42,71,1,1,0.5951018669437609,4,0.6565713068606326,1
333,3,2,6,0,0,19,73,1,1,0.4494355450479004,3,0.49460488153353027,0
87,1,8,22,1,0,35,2,0,0,0.6032487988946841,2,0.5422741592262788,1
197,3,9,24,1,0,40,49,0,0,0.2601569358883954,2,0.30210985512187677,0
481,2,1,20,1,0,29,8,1,0,0.5233448783583858,1,0.42634141485087007,0
180,1,8,21,0,1,31,45,0,0,0.4373644546216847,2,0.42615511823517926,0
230,1,7,6,1,1,26,13,1,1,0.38416775820811244,2,0.3889174307456787,0
480,3,9,25,0,1,42,81,1,1,0.5098797175593415,2,0.476915802291539,0
209,1,4,21,1,1,16,20,0,0,0.4112326200510794,2,0.4078628340357556,0
202,4,5,23,1,0,37,78,1,1,0.4129608469734085,2,0.4090725928813859,0
301,1,10,17,0,0,35,7,0,0,0.5280425487272449,2,0.4896297841090714,0
173,1,7,22,1,0,23,42,0,0,0.43717610663782414,2,0.4260232746464769,0
413,1,4,16,0,1,13,5,1,1,0.42548401027517635,1,0.3578388071926234,0
454,4,1,5,0,0,23,17,1,0,0.6698144594204982,2,0.5888701215943487,1
435,4,4,6,0,1,17,0,1,1,0.5824134785025469,1,0.4676894349517828,0
347,4,4,16,1,1,10,21,0,0,0.41510116089945026,1,0.35057081262961515,0
178,2,6,16,0,0,37,7,0,0,0.24655391936094473,0,0.1725877435526613,0
171,4,7,19,0,1,25,74,0,1,0.4594739836945251,2,0.44163178858616753,0
125,1,5,12,1,0,19,48,1,0,0.3069818949689742,1,0.27488732647828196,0
171,2,4,19,0,0,12,14,0,0,0.28948604062577876,0,0.20264022843804513,0
341,2,4,20,0,1,31,17,0,0,0.16741437886633814,1,0.1771900652064367,0
160,3,6,24,0,0,39,6,1,0,0.2414902311359587,1,0.22904316179517106,0
321,1,9,11,1,0,33,16,0,0,0.3099206529627848,0,0.21694445707394935,0
246,4,9,15,1,0,17,82,1,1,0.739614670406914,3,0.6977302692848397,1
204,1,5,14,1,0,24,16,0,0,0.293847125304591,1,0.2656929877132137,0
441,1,9,12,1,1,45,11,1,1,0.47968035551084165,3,0.5157762488575891,1
354,2,2,14,1,1,11,59,0,0,0.4554037159822498,2,0.43878260118757484,0
498,2,10,19,1,0,14,55,1,0,0.4632810396636966,2,0.4442967277645876,0
303,3,9,5,1,1,14,49,0,0,0.48447985119429193,2,0.45913589583600434,0
